OBJECTID,Lon,Lat,Depth,Dip,Strike
1,208.000000000000000,63.049999999999997,-156.934500000000014,57.217700000000001,215.007499999999993
2,208.050000000000011,63.049999999999997,-153.735199999999992,57.094900000000003,214.897300000000001
3,208.050000000000011,63.000000000000000,-148.882499999999993,56.601199999999999,214.545400000000001
4,208.099999999999994,63.000000000000000,-145.739599999999996,56.401400000000002,214.476400000000012
5,208.099999999999994,62.950000000000003,-141.074299999999994,55.820900000000002,214.068800000000010
6,208.150000000000006,62.950000000000003,-138.005400000000009,55.539000000000001,214.048900000000003
7,208.150000000000006,62.899999999999999,-133.548599999999993,54.875999999999998,213.580900000000014
8,208.199999999999989,62.899999999999999,-130.569400000000002,54.507300000000001,213.617700000000013
9,208.250000000000000,62.850000000000001,-123.461900000000000,53.308700000000002,213.186599999999999
10,208.300000000000011,62.799999999999997,-116.705699999999993,51.949700000000000,212.760600000000011
11,208.349999999999994,62.799999999999997,-114.007199999999997,51.339799999999997,212.969699999999989
12,208.349999999999994,62.750000000000000,-110.314999999999998,50.442200000000000,212.345799999999997
13,208.400000000000006,62.750000000000000,-107.747000000000000,49.740000000000002,212.634399999999999
14,208.400000000000006,62.700000000000003,-104.296199999999999,48.804099999999998,211.949600000000004
15,208.449999999999989,62.700000000000003,-101.862600000000000,48.015500000000003,212.320500000000010
16,208.449999999999989,62.649999999999999,-98.647300000000001,47.059699999999999,211.581099999999992
17,208.500000000000000,62.649999999999999,-96.349299999999999,46.193800000000003,212.036499999999990
18,208.550000000000011,62.600000000000001,-91.194800000000001,44.307000000000002,211.791799999999995
19,208.599999999999994,62.549999999999997,-86.381399999999999,42.389000000000003,211.596300000000014
20,208.650000000000006,62.549999999999997,-84.431299999999993,41.373199999999997,212.290400000000005
21,208.650000000000006,62.500000000000000,-81.887299999999996,40.471600000000002,211.458699999999993
22,208.699999999999989,62.500000000000000,-80.060900000000004,39.426600000000001,212.242799999999988
23,208.699999999999989,62.450000000000003,-77.688500000000005,38.580900000000000,211.384800000000013
24,208.750000000000000,62.450000000000003,-75.978499999999997,37.519500000000001,212.257800000000003
25,208.750000000000000,62.399999999999999,-73.760700000000000,36.734999999999999,211.375599999999991
26,208.800000000000011,62.399999999999999,-72.159700000000001,35.667400000000001,212.334599999999995
27,208.849999999999994,62.350000000000001,-68.582099999999997,33.875999999999998,212.466299999999990
28,208.900000000000006,62.299999999999997,-65.226299999999995,32.142600000000002,212.639600000000002
29,208.949999999999989,62.299999999999997,-63.895899999999997,31.097200000000001,213.828399999999988
30,208.949999999999989,62.250000000000000,-62.076700000000002,30.458100000000002,212.835700000000003
31,209.000000000000000,62.250000000000000,-60.833199999999998,29.429099999999998,214.090699999999998
32,209.000000000000000,62.200000000000003,-59.121200000000002,28.810300000000002,213.032700000000006
33,209.050000000000011,62.200000000000003,-57.959800000000001,27.798999999999999,214.344899999999996
34,209.050000000000011,62.149999999999999,-56.351199999999999,27.186599999999999,213.207400000000007
35,209.099999999999994,62.149999999999999,-55.267800000000001,26.193400000000000,214.568999999999988
36,209.150000000000006,62.100000000000001,-52.752000000000002,24.600300000000001,214.743400000000008
37,209.199999999999989,62.049999999999997,-50.409300000000002,23.010899999999999,214.854299999999995
38,209.250000000000000,62.000000000000000,-48.237400000000001,21.420100000000001,214.895399999999995
39,209.300000000000011,62.000000000000000,-47.425699999999999,20.504100000000001,216.494499999999988
40,209.300000000000011,61.950000000000003,-46.234800000000000,19.827500000000001,214.869400000000013
41,209.349999999999994,61.950000000000003,-45.488399999999999,18.922999999999998,216.535200000000003
42,209.349999999999994,61.899999999999999,-44.399099999999997,18.238399999999999,214.788700000000006
43,209.400000000000006,61.899999999999999,-43.716600000000000,17.345500000000001,216.535200000000003
44,209.449999999999989,61.850000000000001,-42.106800000000000,15.786500000000000,216.520399999999995
45,209.500000000000000,61.799999999999997,-40.653799999999997,14.268300000000000,216.525299999999987
46,209.550000000000011,61.750000000000000,-39.349499999999999,12.820200000000000,216.592800000000011
47,209.599999999999994,61.750000000000000,-38.891300000000001,12.039999999999999,218.955299999999994
48,209.599999999999994,61.700000000000003,-38.182699999999997,11.474900000000000,216.772799999999989
49,209.650000000000006,61.700000000000003,-37.775300000000001,10.748699999999999,219.312900000000013
50,209.650000000000006,61.649999999999999,-37.139499999999998,10.263800000000000,217.119300000000010
51,209.699999999999989,61.649999999999999,-36.777900000000002,9.604500000000000,219.838500000000010
52,209.699999999999989,61.600000000000001,-36.203299999999999,9.211200000000000,217.684300000000007
53,209.750000000000000,61.600000000000001,-35.881700000000002,8.627400000000000,220.570799999999991
54,209.800000000000011,61.549999999999997,-35.068899999999999,7.822200000000000,221.536699999999996
55,209.849999999999994,61.500000000000000,-34.322200000000002,7.176500000000000,222.746800000000007
56,209.900000000000006,61.500000000000000,-34.090499999999999,6.797100000000000,226.188999999999993
57,209.900000000000006,61.450000000000003,-33.626800000000003,6.662100000000000,224.198800000000006
58,209.949999999999989,61.450000000000003,-33.416499999999999,6.335800000000000,227.705199999999991
59,209.949999999999989,61.399999999999999,-32.971299999999999,6.240800000000000,225.884600000000006
60,210.000000000000000,61.399999999999999,-32.780000000000001,5.953100000000000,229.438799999999986
61,210.000000000000000,61.350000000000001,-32.348900000000000,5.872400000000000,227.797100000000000
62,210.050000000000011,61.350000000000001,-32.175300000000000,5.611600000000000,231.393599999999992
63,210.099999999999994,61.299999999999997,-31.600500000000000,5.284200000000000,233.552500000000009
64,210.150000000000006,61.250000000000000,-31.055900000000001,4.958600000000000,235.846599999999995
65,210.199999999999989,61.250000000000000,-30.934500000000000,4.781100000000000,239.565699999999993
66,210.199999999999989,61.200000000000003,-30.542600000000000,4.638100000000000,238.115299999999991
67,210.250000000000000,61.200000000000003,-30.435600000000001,4.493800000000000,241.584300000000013
68,210.250000000000000,61.149999999999999,-30.060700000000001,4.338100000000000,240.075500000000005
69,210.300000000000011,61.149999999999999,-29.965499999999999,4.235600000000000,243.067100000000011
70,210.300000000000011,61.100000000000001,-29.608100000000000,4.079900000000000,241.327699999999993
71,210.349999999999994,61.100000000000001,-29.520700000000001,4.026100000000000,243.593400000000003
72,210.400000000000006,61.049999999999997,-29.094899999999999,3.885000000000000,242.810200000000009
73,210.449999999999989,61.000000000000000,-28.680199999999999,3.829200000000000,240.618799999999993
74,210.500000000000000,61.000000000000000,-28.591300000000000,3.914200000000000,240.807299999999998
75,210.500000000000000,60.950000000000003,-28.267600000000002,3.868900000000000,237.300000000000011
76,210.550000000000011,60.950000000000003,-28.167100000000001,3.995400000000000,237.043299999999988
77,210.550000000000011,60.899999999999999,-27.848700000000001,4.000600000000000,233.444899999999990
78,210.599999999999994,60.899999999999999,-27.733300000000000,4.154100000000000,233.085800000000006
