KAB2     58.1312 -154.9762    0.9080 Katmai Barrier Ridge Two, Alaska                  
KABU     58.2702 -155.2843    1.0650 KABU - Katmai Volcanic Cluster, Alaska            
KAHG     58.4933 -154.5484    0.9230 Katmai Hook Glacier, Alaska                       
KAKN     58.2963 -155.0632    1.0490 KAKN - Katmai Volcanic Cluster, Alaska            
KARR     58.4971 -154.7054    0.6100 Katmai Rainbow River, Alaska                      
KAVE     58.1978 -155.0234    0.7020 Katnai Ventifact, Alaska                          
KAWH     58.3830 -154.8013    0.7770 Katmai, Alaska                                    
KICM     51.9178 -177.1973    0.1830 Cape Miga, Kanaga Volcano, Alaska                 
KIKV     51.8777 -177.1724    0.4110 Kanaga Volcano, Kanaga Volcano, Alaska            
KIMD     51.7605 -177.2369    0.1830 MID Benchmark, Kanaga Volcano, Alaska             
KINC     51.9303 -177.1296    0.1980 North Cape, Kanaga Volcano, Alaska                
KIRH     51.8998 -177.0937    0.3210 Round Head, Kanaga Volcano, Alaska                
KIWB     51.8520 -177.1528    0.2440 Westway Bight, Kanaga Volcano, Alaska             
KJL      58.0533 -155.5753    0.7920 Kejulik, Katmai, Alaska                           
KOFP     52.2740 -174.0992    0.6620 Flat Point, Korovin Volcano, Alaska               
KOKL     52.3221 -174.2022    0.7580 Mount Kliuchef, Korovin Volcano, Alaska           
KOKV     52.3603 -174.1673    0.7760 Korovin Volcano, Korovin Volcano, Alaska          
KONE     52.3925 -174.1213    0.2530 Northeast, Korovin Volcano, Alaska                
KONW     52.3954 -174.2125    0.3340 Northwest, Korovin Volcano, Alaska                
KOSE     52.3447 -174.0505    0.6250 Southeast, Korovin Volcano, Alaska                
KOWE     52.3646 -174.2527    0.5270 West, Korovin Volcano, Alaska                     
LSNW     51.9693  178.5148    0.2900 Northwest, Little Sitkin Volcano, Alaska          
LSPA     51.9557  178.5714    0.3350 Pratt Point, Little Sitkin Volcano, Alaska        
LSSA     51.9484  178.5112    0.5490 Saddle, Little Sitkin Volcano, Alaska             
LSSE     51.9320  178.5670    0.3350 Southeast, Little Sitkin Volcano, Alaska          
LVA      54.1600 -166.0358    0.4570 Lava Point, Akutan Volcano, Alaska                
MAPS     53.8082 -166.9407    0.3330 Pakushin Southeast, Makushin Volcano, Alaska      
MCIR     53.9505 -166.8942    0.8000 Makushin Cirque, Makushin Volcano, Alaska         
MGLS     58.1336 -155.1629    0.4720 Mageik Landslide, Katmai, Volcanic Group,  Alaska 
MGOD     53.7938 -166.8780    0.6500 Gods Own Repeater Site, Makushin Volcano, Alaska  
MNAT     53.8829 -166.6856    0.3900 Nateekin Bay, Makushin  Volcano, Alaska           
MREP     53.8096 -166.7476    0.7850 Repeater, Makushin Volcano, Alaska                
MSW      53.9148 -166.7880    0.4230 Switchbacks, Makushin Volcano, Alaska             
MTBL     53.9680 -166.6813    0.8100 Table Top, Makushin Volcano, Alaska               
N20K     61.2001 -152.2089    0.9910 Mount Spurr, AK, USA                              
N25K     61.6061 -144.5982    1.0870 Chitina, Valdez-Cordova, AK, USA                  
NCT      60.5621 -152.9293    1.1360 North Crescent, Redoubt Volcano, Alaska           
OKCE     53.4261 -168.1663    0.5160 Cone E, Okmok Caldera, Alaska                     
OKCF     53.3948 -168.1382    0.6850 Cone F, Okmok Caldera, Alaska                     
OKFG     53.4108 -167.9114    0.1960 Fort Glenn, Okmok Caldera, Alaska                 
OKNC     53.4559 -168.1255    0.4040 New Cone D, Okmok Caldera, Alaska                 
OKNO     53.5134 -168.0980    0.4785 Reindeer Point, Okmok Caldera, Alaska             
OKS2     53.2895 -168.2364    0.3658 Steeple Point, Okmok Caldera, Alaska              
OKSO     53.3565 -168.1619    0.4600 South, Okmok Caldera, Alaska                      
OKTU     53.3829 -168.0431    0.6460 Mount Tulik, Okmok Caldera, Alaska                
P18K     59.3922 -155.2292    0.6800 Big Mountain, AK, USA                             
P19K     59.6524 -153.2319    0.6290 Oil Pt, AK, USA                                   
PLBL     57.6991 -156.8210    0.4610 Mt. Peulik Volcano, Alaska                        
PLK1     57.8012 -156.6093    0.0780 Peulik Volcano 1, Alaska                          
PLK2     57.7634 -156.3264    0.4010 Mt. Peulik Volcano 2, Alaska                      
PLK3     57.6880 -156.2695    0.4940 Mt. Peulik Volcano 3, Alaska                      
PLK5     57.9970 -156.8800    0.0490 Mt. Peulik Volcano 5, Alaska                      
PN7A     55.4329 -161.9973    0.8380 Pavlof North 7A, Pavlof Volcano, Alaska           
PS1A     55.4201 -161.7437    0.2830 Pavlof South 1A, Pavlof Volcano, Alaska           
PS4A     55.3460 -161.8567    0.3220 Pavlof South 4A, Pavlof Volcano, Alaska           
Q17K     58.2637 -155.8865    1.1650 Contact Creek, Katmai, AK, USA                    
Q18K     58.6484 -155.0086    1.2500 Katmai Hardscrabble Creek, AK, USA                
Q20K     58.6097 -152.3942    0.1800 Shuyak Island, AK, USA                            
R17L     57.6313 -156.3599    0.5240 Mt. Peulik Volcano, AVO PLK4, AK, USA             
RDDF     60.5912 -152.6883    1.1340 Drift River Broadband, Redoubt Volcano, Alaska    
RDJH     60.5905 -152.8058    1.4140 Redoubt, Jurgen's Hut, Redoubt Alaska             
RDSO     60.4536 -152.7430    1.5570 Redoubt South, Redoubt Volcano, Alaska            
RDT      60.5726 -152.4075    0.9300 Redoubt, Alaska                                   
RDWB     60.4875 -152.8425    1.5460 Redoubt, West Buttress, Redoubt Alaska            
RED      60.4196 -152.7742    1.0710 Redoubt Volcano, Redoubt Volcano, Alaska          
REF      60.4888 -152.6940    1.6410 Redoubt East Flank, Redoubt Volcano, Alaska       
S12K     55.7030 -162.0610    0.4110 Black Hills, AK, USA                              
SPBG     61.2591 -152.3722    1.0870 Barrier Glacier, Mount Spurr, Alaska              
SPBL     61.3764 -151.8947    0.9270 Spurr Beluga Lake, Mount Spur, Alaska             
SPCG     61.2913 -152.0228    1.3290 Capps Glacier, Mount Spurr, Alaska                
SPCL     61.1956 -152.3399    1.2740 Chakachamna Lake, Mount Spurr, Alaska             
SPCN     61.2244 -152.1854    0.7350 Ckakachatna North Broadband, Mount Spurr, Alaska  
SPCP     61.2655 -152.1550    1.6160 Crater Peak Broadband, Mount Spurr, Alaska        
SPCR     61.2003 -152.2091    0.9840 Ckakachatna River, Mount Spurr, Alaska            
SPNN     61.3662 -152.7012    1.6660 North Nagishlamina, Mount Spurr, Alaska           
SPU      61.1811 -152.0566    0.8000 Mount Spurr, Mount Spurr, Alaska                  
SPWE     61.2735 -152.5590    1.3170 Spurr West, Mount Spurr, Alaska                   
SSBA     54.7718 -164.1265    0.7660 Shishaldin Broadband A, Shishldin Volcano, Alaska 
SSL1     54.6814 -163.9094    0.2250 Shishaldin Volcano, Alaska                        
SSLN     54.8109 -163.9979    0.6370 North, Shishaldin Volcano, Alaska                 
SSLS     54.7111 -164.0008    0.8170 South, Shishaldin Volcano, Alaska                 
STLK     61.4982 -151.8349    0.9450 Strandline Lake, Regional Station, Alaska         
TAFL     51.7555 -177.8998    0.1860 Flats, Tanaga Volcano, Alaska                     
TAFP     51.8990 -177.9853    0.4400 Falls Point, Tanaga Volcano, Alaska               
TANO     51.9146 -178.1228    0.2690 North, Tanaga Volcano, Alaska                     
TAPA     51.8144 -177.8148    0.6400 Point Aries, Tanaga Volcano, Alaska               
TASE     51.8339 -178.0390    0.6820 Southeast, Tanaga Volcano, Alaska                 
TASO     51.8535 -178.1453    0.6900 South, Tanaga Volcano, Alaska                     
WACK     61.9858 -144.3305    2.2800 Chichokna Glacier, Wrangell, Alaska               
WAZA     62.0746 -144.1544    2.5310 Wrangell Zanetti, Alaska                          
WEBT     54.5902 -164.7550    0.4670 Beartrack Creek, Westdahl Peak, Alaska            
WECS     54.5300 -164.7796    0.6390 Cape Sarichef, Westdahl Peak, Alaska              
WESE     54.4723 -164.5860    0.9530 Southeast, Westdahl Peak, Alaska                  
WESN     54.5761 -164.5804    0.5490 South, Westdahl Peak, Alaska                      
WESP     54.4926 -164.7233    0.9370 Westdahl Peak, Westdahl Peak, Alaska              
WTUG     54.8466 -164.3873    0.6360 Tungamak, Westdahl Peak, Alaska                   
