OBJECTID,Field1,Field2,Field3,Field4,Field5
1,207.199999999999989,62.450000000000003,-169.226100000000002,63.830900000000000,193.669999999999987
2,207.250000000000000,62.450000000000003,-164.266500000000008,62.800800000000002,194.542000000000002
3,207.150000000000006,62.399999999999999,-171.869699999999995,64.940100000000001,192.170899999999989
4,207.199999999999989,62.399999999999999,-166.618699999999990,63.905900000000003,192.954800000000006
5,207.250000000000000,62.399999999999999,-161.621199999999988,62.850900000000003,193.757700000000000
6,207.300000000000011,62.399999999999999,-156.863300000000010,61.787500000000001,194.572100000000006
7,207.349999999999994,62.399999999999999,-152.329599999999999,60.727600000000002,195.389600000000002
8,207.400000000000006,62.399999999999999,-148.004400000000004,59.682499999999997,196.201300000000003
9,207.250000000000000,62.350000000000001,-159.110000000000014,62.872300000000003,193.043000000000006
10,207.300000000000011,62.350000000000001,-154.326799999999992,61.786000000000001,193.794000000000011
11,207.349999999999994,62.350000000000001,-149.771400000000000,60.700499999999998,194.552899999999994
12,207.400000000000006,62.350000000000001,-145.428200000000004,59.626899999999999,195.311599999999999
13,207.449999999999989,62.350000000000001,-141.281100000000009,58.575000000000003,196.061599999999999
14,207.500000000000000,62.350000000000001,-137.314200000000000,57.553199999999997,196.794900000000013
15,207.550000000000011,62.350000000000001,-133.512499999999989,56.567399999999999,197.503899999999987
16,207.400000000000006,62.299999999999997,-142.994400000000013,59.560499999999998,194.498500000000007
17,207.449999999999989,62.299999999999997,-138.836700000000008,58.482900000000001,195.201600000000013
18,207.500000000000000,62.299999999999997,-134.862099999999998,57.432699999999997,195.893799999999999
19,207.550000000000011,62.299999999999997,-131.055499999999995,56.416100000000000,196.568099999999987
20,207.599999999999994,62.299999999999997,-127.402600000000007,55.437500000000000,197.217600000000004
21,207.650000000000006,62.299999999999997,-123.890199999999993,54.499299999999998,197.836900000000014
22,207.699999999999989,62.299999999999997,-120.506200000000007,53.601500000000001,198.421999999999997
23,207.550000000000011,62.250000000000000,-128.737400000000008,56.269900000000000,195.713099999999997
24,207.599999999999994,62.250000000000000,-125.084000000000003,55.262900000000002,196.332999999999998
25,207.650000000000006,62.250000000000000,-121.573599999999999,54.294199999999996,196.928500000000014
26,207.699999999999989,62.250000000000000,-118.194100000000006,53.364500000000000,197.495200000000011
27,207.750000000000000,62.250000000000000,-114.934799999999996,52.472700000000003,198.030200000000008
28,207.800000000000011,62.250000000000000,-111.785899999999998,51.616100000000003,198.532299999999992
29,207.699999999999989,62.200000000000003,-116.011200000000002,53.143300000000004,196.649699999999996
30,207.750000000000000,62.200000000000003,-112.759100000000004,52.221800000000002,197.169499999999999
31,207.800000000000011,62.200000000000003,-109.619799999999998,51.334800000000001,197.660599999999988
32,207.849999999999994,62.200000000000003,-106.584699999999998,50.478499999999997,198.123099999999994
33,207.900000000000006,62.200000000000003,-103.646699999999996,49.647799999999997,198.558500000000009
34,207.949999999999989,62.200000000000003,-100.799599999999998,48.836500000000001,198.970200000000006
35,207.849999999999994,62.149999999999999,-104.546599999999998,50.188600000000001,197.322399999999988
36,207.900000000000006,62.149999999999999,-101.622000000000000,49.330199999999998,197.751399999999990
37,207.949999999999989,62.149999999999999,-98.790099999999995,48.492199999999997,198.158700000000010
38,208.000000000000000,62.149999999999999,-96.045800000000000,47.667800000000000,198.548599999999993
39,208.050000000000011,62.149999999999999,-93.385199999999998,46.850000000000001,198.926600000000008
40,208.099999999999994,62.149999999999999,-90.805199999999999,46.031599999999997,199.299000000000007
41,207.949999999999989,62.100000000000001,-96.884000000000000,48.170400000000001,197.422100000000000
42,208.000000000000000,62.100000000000001,-94.155799999999999,47.322099999999999,197.806900000000013
43,208.050000000000011,62.100000000000001,-91.512600000000006,46.481900000000003,198.180399999999992
44,208.099999999999994,62.100000000000001,-88.950999999999993,45.643000000000001,198.548300000000012
45,208.150000000000006,62.100000000000001,-86.468800000000002,44.798400000000001,198.917100000000005
46,208.199999999999989,62.100000000000001,-84.064499999999995,43.942100000000003,199.293399999999991
47,208.099999999999994,62.049999999999997,-87.188000000000002,45.275900000000000,197.864800000000002
48,208.150000000000006,62.049999999999997,-84.724400000000003,44.413200000000003,198.226100000000002
49,208.199999999999989,62.049999999999997,-82.339200000000005,43.540300000000002,198.593700000000013
50,208.250000000000000,62.049999999999997,-80.031199999999998,42.652000000000001,198.973999999999990
51,208.300000000000011,62.049999999999997,-77.799899999999994,41.743699999999997,199.373400000000004
52,208.349999999999994,62.049999999999997,-75.644900000000007,40.811799999999998,199.797899999999998
53,208.250000000000000,62.000000000000000,-78.406599999999997,42.251300000000001,198.321699999999993
54,208.300000000000011,62.000000000000000,-76.194800000000001,41.328699999999998,198.705999999999989
