 0 1 2 3 4 5 6 7 8
74 -151.150 61.850 -53.160 28.010 202.500 -84.413 3.077 -151.187 61.828
75 -151.100 61.850 -51.910 26.860 203.250 -82.374 4.726 -151.157 61.817
76 -151.250 61.800 -54.740 29.780 200.380 -85.007 -4.547 -151.196 61.832
77 -151.200 61.800 -53.370 28.600 200.980 -82.962 -2.898 -151.165 61.820
78 -151.150 61.800 -52.060 27.430 201.620 -80.918 -1.247 -151.135 61.809
79 -151.100 61.800 -50.830 26.270 202.300 -78.876 0.405 -151.105 61.797
80 -151.050 61.800 -49.670 25.120 203.030 -76.835 2.059 -151.075 61.786
81 -151.000 61.800 -48.560 24.000 203.810 -74.794 3.715 -151.045 61.774
82 -151.100 61.750 -49.820 25.670 201.430 -75.377 -3.916 -151.053 61.777
83 -151.050 61.750 -48.680 24.520 202.100 -73.333 -2.259 -151.023 61.766
84 -151.000 61.750 -47.600 23.390 202.810 -71.289 -0.601 -150.993 61.754
85 -150.950 61.750 -46.580 22.290 203.560 -69.247 1.059 -150.963 61.743
86 -150.900 61.750 -45.620 21.220 204.370 -67.207 2.720 -150.933 61.731
87 -150.850 61.750 -44.720 20.180 205.230 -65.167 4.383 -150.903 61.719
88 -151.000 61.700 -46.700 22.790 201.910 -67.784 -4.917 -150.941 61.734
89 -150.950 61.700 -45.700 21.680 202.600 -65.739 -3.254 -150.911 61.723
90 -150.900 61.700 -44.760 20.610 203.330 -63.695 -1.590 -150.881 61.711
91 -150.850 61.700 -43.880 19.570 204.110 -61.652 0.075 -150.851 61.699
92 -150.800 61.700 -43.060 18.560 204.960 -59.610 1.742 -150.821 61.688
93 -150.750 61.700 -42.280 17.580 205.880 -57.570 3.411 -150.791 61.676
94 -150.850 61.650 -43.110 18.970 203.150 -58.137 -4.232 -150.799 61.679
95 -150.800 61.650 -42.300 17.960 203.910 -56.092 -2.563 -150.769 61.668
96 -150.750 61.650 -41.540 16.990 204.750 -54.049 -0.891 -150.739 61.656
97 -150.700 61.650 -40.830 16.040 205.670 -52.006 0.782 -150.709 61.645
98 -150.650 61.650 -40.170 15.130 206.710 -49.965 2.456 -150.680 61.633
99 -150.600 61.650 -39.560 14.230 207.890 -47.926 4.133 -150.650 61.621
100 -150.700 61.600 -40.170 15.490 204.660 -48.481 -3.518 -150.658 61.624
101 -150.650 61.600 -39.520 14.590 205.600 -46.437 -1.840 -150.628 61.613
102 -150.600 61.600 -38.930 13.720 206.660 -44.394 -0.162 -150.598 61.601
103 -150.550 61.600 -38.370 12.870 207.890 -42.352 1.519 -150.568 61.589
104 -150.500 61.600 -37.860 12.060 209.320 -40.312 3.201 -150.538 61.578
105 -150.450 61.600 -37.390 11.280 210.980 -38.273 4.884 -150.509 61.566
106 -150.600 61.550 -38.340 13.230 205.730 -40.863 -4.456 -150.547 61.581
107 -150.550 61.550 -37.800 12.420 206.850 -38.818 -2.773 -150.517 61.569
108 -150.500 61.550 -37.300 11.630 208.140 -36.774 -1.088 -150.487 61.558
109 -150.450 61.550 -36.840 10.880 209.650 -34.731 0.598 -150.457 61.546
110 -150.400 61.550 -36.420 10.170 211.410 -32.690 2.286 -150.428 61.534
111 -150.350 61.550 -36.030 9.510 213.450 -30.650 3.976 -150.398 61.522
112 -150.450 61.500 -36.330 10.530 208.710 -31.190 -3.688 -150.406 61.526
113 -150.400 61.500 -35.910 9.860 210.310 -29.146 -1.997 -150.376 61.514
114 -150.350 61.500 -35.530 9.220 212.170 -27.102 -0.305 -150.346 61.502
115 -150.300 61.500 -35.190 8.640 214.330 -25.061 1.389 -150.317 61.490
116 -150.250 61.500 -34.870 8.100 216.800 -23.020 3.084 -150.287 61.479
117 -150.200 61.500 -34.580 7.610 219.610 -20.981 4.781 -150.258 61.467
118 -150.350 61.450 -35.070 8.990 211.320 -23.555 -4.586 -150.295 61.482
119 -150.300 61.450 -34.720 8.430 213.280 -21.509 -2.889 -150.265 61.470
120 -150.250 61.450 -34.410 7.920 215.530 -19.466 -1.191 -150.236 61.458
121 -150.200 61.450 -34.120 7.460 218.100 -17.423 0.508 -150.206 61.446
122 -150.150 61.450 -33.860 7.040 220.990 -15.382 2.209 -150.177 61.435
123 -150.100 61.450 -33.630 6.660 224.200 -13.342 3.912 -150.147 61.423
124 -150.200 61.400 -33.680 7.340 217.040 -13.865 -3.764 -150.155 61.426
125 -150.150 61.400 -33.420 6.930 219.670 -11.821 -2.060 -150.125 61.414
126 -150.100 61.400 -33.190 6.570 222.620 -9.778 -0.355 -150.096 61.402
127 -150.050 61.400 -32.970 6.240 225.880 -7.736 1.352 -150.066 61.391
128 -150.000 61.400 -32.780 5.950 229.440 -5.695 3.061 -150.037 61.379
129 -149.950 61.400 -32.610 5.710 233.230 -3.656 4.771 -150.008 61.367
130 -150.100 61.350 -32.760 6.500 221.490 -6.213 -4.622 -150.044 61.382
131 -150.050 61.350 -32.540 6.170 224.490 -4.168 -2.912 -150.015 61.370
132 -150.000 61.350 -32.350 5.870 227.800 -2.124 -1.201 -149.986 61.358
133 -149.950 61.350 -32.180 5.610 231.390 -0.082 0.512 -149.956 61.346
